"Timestamp","Age","Gender","Education Level","Monthly income","The name of your current mobile service provider (eg. China Mobile HK)","Why choose your present mobile service provider?","How long have you been using your current mobile service provider?","Have you changed your mobile service provider before?","The network service quality of my former provider is not good enough.","The difference between the services I received from my former mobile service provider and my expectation is big and I am disappointed.","The technology innovation of my former mobile service provider has not improved much compared with other mobile service provider.","The customer care of my former mobile service provider is not good enough.","The price of my former mobile service provider is not reasonable.","The loyalty benefit does not change if I use the service longer. ( eg. The monthly price does not change even if I use the service longer. )","The value-added services of my former mobile service provider is not good enough.","My family or my friends are using my current service provider and I am influenced by them.","The promotion of my current service provider attracted me and gave me motivation to switch.","What is the main reason for your switching?","The quality of network of my current mobile service provider is great.","The difference between the service I received from my current mobile service provider and my expectation is not big or the service I received from my current mobile service provider is even better than my expectation.","The customer care of my current mobile service provider is good enough.","My mobile service provider has improved its technology enough compared with other mobile service providers.","The switching cost is high. （Including non-money cost, eg. I didn't switch my mobile service provider because I don't want to spend my time to do so.)","The loyalty benefit becomes higher if I use the service longer. ( eg. The monthly price will decrease if I use longer.)","The price is reasonable.","The value-added services of my current mobile service provider is good enough.","What is the main reason that you are still using the current provider?","What's the likelihood that you will switch by the end of the current contract? ","Why will you switch to another mobile service provider in the future? (Please select the top three reason.)"
"2020/04/30 6:02:29 PM GMT+8","22","Male","Diploma","10,001 to 20,000","China Mobile Hong Kong","College promotion;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","4","2","2","1","3","5","4","change Samsung and cm has coupon","Somewhat likely","Price;Promotion;Network quality;Technology"
"2020/04/30 6:03:53 PM GMT+8","23","Female","Graduate","Less than 10,000","Others","The value-added services it provides compared with other providers","0-1 year","Yes","3","4","4","4","5","4","4","4","4","price","5","4","4","4","4","5","3","5","unlimited data","Very likely","Price;Network quality;Technology"
"2020/04/30 6:07:30 PM GMT+8","20","Female","High school and less","Less than 10,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","4","4","5","4","4","2","3","4","I don’t want to change my number.","Somewhat likely","Price;Value-added services"
"2020/04/30 6:07:42 PM GMT+8","22","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","Yes","3","3","4","4","3","4","4","4","4","monthly fee","4","4","4","4","2","4","4","4","network is great","Somewhat likely","Price;Promotion;Network quality;Technology;Customer care;Loyalty benefits;Value-added services"
"2020/04/30 6:07:55 PM GMT+8","19","Male","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion;Family or friends' impact","2-5 years","Yes","4","4","4","5","5","3","4","5","5","Compared better services at a much lower price.","4","4","5","4","5","5","5","5","Good services at a lower price","Somewhat likely","Price;Network quality;Customer care"
"2020/04/30 6:08:18 PM GMT+8","20","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion;Family or friends' impact","over 5 years","No","","","","","","","","","","","5","5","5","3","5","3","4","4","accustomed","Somewhat likely","Price;Network quality;Customer care"
"2020/04/30 6:08:33 PM GMT+8","25","Female","Post Graduate","Less than 10,000","China Mobile Hong Kong","Family or friends' impact","0-1 year","No","","","","","","","","","","","4","4","4","5","3","3","4","4","I don’t want to waste my time to do so.","Somewhat likely","Technology"
"2020/04/30 6:10:34 PM GMT+8","25","Male","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","Yes","5","1","3","3","2","4","3","2","3","Promotion","4","3","3","4","3","3","4","3","Steady service","Somewhat likely","Promotion"
"2020/04/30 6:14:04 PM GMT+8","21","Female","Diploma","Less than 10,000","SmarTone","Family or friends' impact","2-5 years","No","","","","","","","","","","","3","4","4","4","3","4","4","4","too lazy to change","Somewhat likely","Network quality"
"2020/04/30 6:14:25 PM GMT+8","24","Male","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","3","3","4","4","5","4","phone number","Likely","Price;Network quality;Loyalty benefits"
"2020/04/30 6:15:43 PM GMT+8","23","Male","Diploma","Less than 10,000","China Mobile Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","4","3","5","5","4","2","4","2","Convenience ","Not at all",""
"2020/04/30 6:18:01 PM GMT+8","22","Male","Graduate","Less than 10,000","Others","The value-added services it provides compared with other providers","0-1 year","Yes","4","3","5","3","4","3","4","3","3","No contract ","4","4","3","5","4","4","3","5","no Contract","Not at all",""
"2020/04/30 6:21:56 PM GMT+8","23","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","5","5","1","1","5","1","3","3","I dont want to spend my time looking for another one, this one although not perfect but is satisfied.","Somewhat likely","Price;Promotion;Customer care;Value-added services"
"2020/04/30 6:22:00 PM GMT+8","20","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","2","3","2","3","3","2","3","2","didnt want to spend time to find a decent one","Somewhat likely","Price"
"2020/04/30 6:25:01 PM GMT+8","22","Female","Graduate","Less than 10,000","CSL","Corporate image","2-5 years","Yes","4","3","2","3","4","3","3","3","4","price","3","3","3","3","5","3","2","3","my plan haven't expired","Likely","Technology"
"2020/04/30 6:32:16 PM GMT+8","30","Female","Post Graduate","20,001 to 40,000","China Mobile Hong Kong","Corporate image;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","4","4","3","2","2","5","5","the price is reasonable compared with the service it provides","Not at all",""
"2020/04/30 6:36:58 PM GMT+8","22","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","4","2","2","4","4","3","3","Switching is inconvenient ","Not at all",""
"2020/04/30 6:41:56 PM GMT+8","22","Female","Graduate","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","2-5 years","Yes","3","3","3","3","4","2","4","4","3","useful","4","3","5","3","3","3","4","4","lazy","Not at all",""
"2020/04/30 6:42:01 PM GMT+8","21","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","4","3","5","2","4","3","I don't want to spend time on changing it.","Somewhat likely","Price"
"2020/04/30 6:51:11 PM GMT+8","21","Prefer not to say","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","3","1","5","1","3","2","lazy to change","Somewhat likely","Price"
"2020/04/30 6:58:32 PM GMT+8","20","Male","Graduate","Less than 10,000","China Mobile Hong Kong","Family or friends' impact","1-2 years","No","","","","","","","","","","","4","4","4","3","5","3","4","4","switching  cost is too high ","Not at all",""
"2020/04/30 7:03:09 PM GMT+8","21","Female","Diploma","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","5","3","3","4","5","1","2","2","Because I am not in HK to chang it...","Very likely","Price;Network quality;Customer care"
"2020/04/30 7:04:40 PM GMT+8","21","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","3","3","3","3","4","2","3","It‘s hard to change provider","Somewhat likely","Price;Promotion"
"2020/04/30 7:05:25 PM GMT+8","22","Male","Graduate","Less than 10,000","China Mobile Hong Kong","Corporate image","2-5 years","No","","","","","","","","","","","4","3","5","5","5","5","3","5","Good customet service include convenient patment method","Not at all",""
"2020/04/30 7:16:57 PM GMT+8","22","Male","Graduate","10,001 to 20,000","SmarTone","College promotion","0-1 year","Yes","3","4","2","4","4","1","2","1","5","The price","4","3","4","3","2","4","4","4","The contract is not over","Somewhat likely","Price;Network quality;Loyalty benefits"
"2020/04/30 7:25:31 PM GMT+8","22","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","4","3","3","3","4","3","Trust","Somewhat likely","Technology"
"2020/04/30 7:27:54 PM GMT+8","22","Male","Graduate","Less than 10,000","China Mobile Hong Kong","Corporate image","2-5 years","No","","","","","","","","","","","5","4","3","3","4","4","4","4","Trust","Somewhat likely","Price;Technology"
"2020/04/30 7:35:30 PM GMT+8","20","Female","Diploma","Less than 10,000","3 Hong Kong","Corporate image;College promotion;Family or friends' impact","0-1 year","Yes","2","2","4","2","3","3","5","5","5","CMHK sucks","5","5","5","4","5","5","4","4","It is cheap, and has a discount for students","Somewhat likely","Price;Promotion;Network quality;Technology;Customer care;Loyalty benefits;Value-added services"
"2020/04/30 8:47:16 PM GMT+8","22","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","5","4","5","2","2","3","no time to change","Very likely","Price;Promotion"
"2020/04/30 8:57:23 PM GMT+8","21","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","3","3","2","4","3","2","2","don't want to change","Somewhat likely","Price"
"2020/04/30 9:08:49 PM GMT+8","22","Male","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","3","3","5","1","3","3","Current provider is ok, no motivation to change","Not at all",""
"2020/04/30 9:52:07 PM GMT+8","19","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","2","2","4","3","4","4","3","3","Changing provider takes time and energy ","Somewhat likely","Network quality;Customer care;Loyalty benefits"
"2020/04/30 10:00:40 PM GMT+8","24","Female","Graduate","10,001 to 20,000","3 Hong Kong","College promotion","over 5 years","No","","","","","","","","","","","4","4","4","3","4","4","4","3","Too complex to change a provider","Not at all",""
"2020/04/30 10:09:14 PM GMT+8","22","Male","Diploma","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","2-5 years","Yes","4","5","3","4","4","3","5","4","2","Money","3","4","4","3","4","4","4","4","Convince","Somewhat likely","Price"
"2020/04/30 11:45:07 PM GMT+8","23","Male","Graduate","Less than 10,000","Others","College promotion;The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","4","4","4","4","4","4","4","4","cheap and worthy","Not at all",""
"2020/05/01 9:31:47 AM GMT+8","24","Female","Ph.D.","20,001 to 40,000","China Mobile Hong Kong","randomly chosed","1-2 years","No","","","","","","","","","","","3","3","3","2","5","1","3","1","Don’t want to spend time on selecting or switching.","Somewhat likely","Price;Network quality"
"2020/05/02 2:45:38 AM GMT+8","22","Male","Diploma","Less than 10,000","Others","Family or friends' impact","1-2 years","Yes","1","3","3","4","4","3","3","4","1","Going abroad","1","1","4","1","1","1","2","1","No choice","Somewhat likely","Price"
"2020/05/06 4:29:22 PM GMT+8","21","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","Corporate image;College promotion;Family or friends' impact","2-5 years","No","","","","","","","","","","","4","3","2","2","5","3","3","3","No reason to change","Not at all",""
"2020/05/06 4:32:21 PM GMT+8","22","Male","Post Graduate","40,001 to 60,000","3 Hong Kong","Corporate image;The value-added services it provides compared with other providers","1-2 years","Yes","3","4","4","3","5","4","3","4","3","Network quality","4","3","4","3","4","4","3","2","Network","Not at all",""
